city	state	MSA Name_Cleaned
Toa Alta	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
Bayamon	PR	San Juan-Caguas-Guaynabo, PR 
Bayamon	PR	San Juan-Caguas-Guaynabo, PR 
Bayamon	PR	San Juan-Caguas-Guaynabo, PR 
Bayamon	PR	San Juan-Caguas-Guaynabo, PR 
Bayamon	PR	San Juan-Caguas-Guaynabo, PR 
Bayamon	PR	San Juan-Caguas-Guaynabo, PR 
Catano	PR	San Juan-Caguas-Guaynabo, PR 
Catano	PR	San Juan-Caguas-Guaynabo, PR 
Guaynabo	PR	San Juan-Caguas-Guaynabo, PR 
Guaynabo	PR	San Juan-Caguas-Guaynabo, PR 
Guaynabo	PR	San Juan-Caguas-Guaynabo, PR 
Guaynabo	PR	San Juan-Caguas-Guaynabo, PR 
Guaynabo	PR	San Juan-Caguas-Guaynabo, PR 
Guaynabo	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
Trujillo Alto	PR	San Juan-Caguas-Guaynabo, PR 
Trujillo Alto	PR	San Juan-Caguas-Guaynabo, PR 
Saint Just Contract	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Carolina	PR	San Juan-Caguas-Guaynabo, PR 
Agawam	MA	Springfield, MA 
Amherst	MA	Springfield, MA 
Amherst	MA	Springfield, MA 
Amherst	MA	Springfield, MA 
Barre	MA	Worcester, MA 
Belchertown	MA	Springfield, MA 
Blandford	MA	Springfield, MA 
Bondsville	MA	Springfield, MA 
Brimfield	MA	Springfield, MA 
Chester	MA	Springfield, MA 
Chesterfield	MA	Springfield, MA 
Chicopee	MA	Springfield, MA 
Chicopee	MA	Springfield, MA 
Chicopee	MA	Springfield, MA 
Chicopee	MA	Springfield, MA 
Chicopee	MA	Springfield, MA 
Cummington	MA	Springfield, MA 
Easthampton	MA	Springfield, MA 
East Longmeadow	MA	Springfield, MA 
East Otis	MA	Pittsfield, MA 
Feeding Hills	MA	Springfield, MA 
Gilbertville	MA	Worcester, MA 
Goshen	MA	Springfield, MA 
Granby	MA	Springfield, MA 
Granville	MA	Springfield, MA 
Hadley	MA	Springfield, MA 
Hampden	MA	Springfield, MA 
Hardwick	MA	Worcester, MA 
Hatfield	MA	Springfield, MA 
Haydenville	MA	Springfield, MA 
Holyoke	MA	Springfield, MA 
Holyoke	MA	Springfield, MA 
Huntington	MA	Springfield, MA 
Leeds	MA	Springfield, MA 
Leverett	MA	Springfield, MA 
Ludlow	MA	Springfield, MA 
Monson	MA	Springfield, MA 
North Amherst	MA	Springfield, MA 
Northampton	MA	Springfield, MA 
Northampton	MA	Springfield, MA 
Florence	MA	Springfield, MA 
Northampton	MA	Springfield, MA 
North Hatfield	MA	Springfield, MA 
Oakham	MA	Worcester, MA 
Palmer	MA	Springfield, MA 
Plainfield	MA	Springfield, MA 
Russell	MA	Springfield, MA 
Shutesbury	MA	Springfield, MA 
Southampton	MA	Springfield, MA 
South Barre	MA	Worcester, MA 
South Hadley	MA	Springfield, MA 
Southwick	MA	Springfield, MA 
Thorndike	MA	Springfield, MA 
Three Rivers	MA	Springfield, MA 
Wales	MA	Springfield, MA 
Ware	MA	Springfield, MA 
Warren	MA	Worcester, MA 
West Chesterfield	MA	Springfield, MA 
Westfield	MA	Springfield, MA 
Westfield	MA	Springfield, MA 
West Hatfield	MA	Springfield, MA 
West Springfield	MA	Springfield, MA 
West Springfield	MA	Springfield, MA 
West Warren	MA	Worcester, MA 
Whately	MA	Springfield, MA 
Wheelwright	MA	Worcester, MA 
Wilbraham	MA	Springfield, MA 
Williamsburg	MA	Springfield, MA 
Woronoco	MA	Springfield, MA 
Worthington	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Longmeadow	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Longmeadow	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Indian Orchard	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Springfield	MA	Springfield, MA 
Pittsfield	MA	Pittsfield, MA 
Pittsfield	MA	Pittsfield, MA 
Pittsfield	MA	Pittsfield, MA 
Adams	MA	Pittsfield, MA 
Ashley Falls	MA	Pittsfield, MA 
Becket	MA	Pittsfield, MA 
Berkshire	MA	Pittsfield, MA 
Cheshire	MA	Pittsfield, MA 
Dalton	MA	Pittsfield, MA 
Dalton	MA	Pittsfield, MA 
Glendale	MA	Pittsfield, MA 
Great Barrington	MA	Pittsfield, MA 
Hinsdale	MA	Pittsfield, MA 
Housatonic	MA	Pittsfield, MA 
Lanesboro	MA	Pittsfield, MA 
Lee	MA	Pittsfield, MA 
Lenox	MA	Pittsfield, MA 
Lenox Dale	MA	Pittsfield, MA 
Middlefield	MA	Springfield, MA 
Mill River	MA	Pittsfield, MA 
Monterey	MA	Pittsfield, MA 
North Adams	MA	Pittsfield, MA 
North Egremont	MA	Pittsfield, MA 
Otis	MA	Pittsfield, MA 
Richmond	MA	Pittsfield, MA 
Sandisfield	MA	Pittsfield, MA 
Savoy	MA	Pittsfield, MA 
Sheffield	MA	Pittsfield, MA 
South Egremont	MA	Pittsfield, MA 
Southfield	MA	Pittsfield, MA 
South Lee	MA	Pittsfield, MA 
Stockbridge	MA	Pittsfield, MA 
Stockbridge	MA	Pittsfield, MA 
Tyringham	MA	Pittsfield, MA 
West Stockbridge	MA	Pittsfield, MA 
Williamstown	MA	Pittsfield, MA 
Windsor	MA	Pittsfield, MA 
Greenfield	MA	Springfield, MA 
Greenfield	MA	Springfield, MA 
Ashfield	MA	Springfield, MA 
Athol	MA	Worcester, MA 
Bernardston	MA	Springfield, MA 
Buckland	MA	Springfield, MA 
Charlemont	MA	Springfield, MA 
Colrain	MA	Springfield, MA 
Conway	MA	Springfield, MA 
Deerfield	MA	Springfield, MA 
Drury	MA	Pittsfield, MA 
Erving	MA	Springfield, MA 
Heath	MA	Springfield, MA 
Lake Pleasant	MA	Springfield, MA 
Turners Falls	MA	Springfield, MA 
Monroe Bridge	MA	Springfield, MA 
Montague	MA	Springfield, MA 
Northfield	MA	Springfield, MA 
New Salem	MA	Springfield, MA 
Northfield	MA	Springfield, MA 
Orange	MA	Springfield, MA 
Petersham	MA	Worcester, MA 
Rowe	MA	Springfield, MA 
Royalston	MA	Worcester, MA 
Shattuckville	MA	Springfield, MA 
Shelburne Falls	MA	Springfield, MA 
South Deerfield	MA	Springfield, MA 
Sunderland	MA	Springfield, MA 
Turners Falls	MA	Springfield, MA 
Warwick	MA	Springfield, MA 
Wendell	MA	Springfield, MA 
Wendell Depot	MA	Springfield, MA 
Fitchburg	MA	Worcester, MA 
Ashburnham	MA	Worcester, MA 
Ashby	MA	Boston-Cambridge-Quincy, MA-NH 
Ayer	MA	Boston-Cambridge-Quincy, MA-NH 
Baldwinville	MA	Worcester, MA 
